UnixTime*1000,NrFinished,NrQueued,VMNum,UsedCores,OnPMs,CentralRepoTX
59102000,9235,6,12,33,23,914000000000
59402000,9273,19,0,0,11,916600000000
59702000,9317,13,14,32,17,922400000000
60002000,9399,6,1,1,4,929300000000
60302000,9400,28,0,0,12,929300000000
60602000,9423,29,26,60,21,934200000000
60902000,9520,0,32,77,26,944400000000
61202000,9559,7,20,51,18,947100000000
61502000,9625,5,7,10,7,952300000000
61802000,9645,16,19,44,14,954492500000
62102000,9704,6,27,66,23,961900000000
62402000,9759,11,7,21,7,965300000000
62702000,9805,22,1,1,14,969100000000
63002000,9862,2,23,58,21,977000000000
63302000,9911,10,0,0,3,979500000000
63602000,9924,15,18,34,15,982600000000
63902000,9999,2,26,64,23,990900000000
64202000,10061,1,11,19,9,995600000000
64502000,10095,4,17,41,18,999600000000
64802000,10152,5,8,22,8,1004400000000
65102000,10161,28,13,39,13,1005700000000
65402000,10215,14,23,59,22,1012100000000
65702000,10292,5,8,22,10,1018300000000
66002000,10336,8,21,49,17,1022697500000
66302000,10379,10,14,56,14,1027400000000
66602000,10429,0,17,39,15,1032700000000
66902000,10471,7,18,63,16,1037000000000
67202000,10520,2,13,33,10,1041400000000
67502000,10533,16,16,44,15,1043000000000
67802000,10614,0,10,22,12,1050500000000
68102000,10644,10,6,16,10,1053100000000
68402000,10697,2,18,36,14,1059600000000
68702000,10735,1,14,32,13,1062988750000
69002000,10766,8,12,32,21,1065900000000
69302000,10810,13,2,4,11,1069300000000
69602000,10844,22,10,26,17,1073300000000
69902000,10928,0,15,22,6,1082200000000
70202000,10945,17,0,0,12,1082300000000
70502000,10975,20,19,55,18,1087200000000
70802000,11061,1,28,69,24,1096700000000
71102000,11126,1,12,24,9,1101500000000
71402000,11170,2,3,3,12,1105000000000
71702000,11201,2,24,50,18,1110200000000
72002000,11269,5,3,3,6,1114900000000
72302000,11278,21,15,37,13,1117000000000
72602000,11322,16,10,23,19,1120900000000
72902000,11415,0,10,15,5,1130100000000
73202000,11440,4,13,26,11,1132800000000
73502000,11487,2,23,59,24,1138500000000
73802000,11550,1,12,31,12,1143700000000
74102000,11586,9,13,34,13,1147300000000
74402000,11626,13,17,46,17,1151600000000
74702000,11681,4,19,49,17,1157200000000
75002000,11730,9,0,0,5,1160200000000
75302000,11730,25,0,0,12,1160200000000
75602000,11777,18,27,61,26,1167600000000
75902000,11878,4,5,5,3,1175400000000
76202000,11884,26,0,0,9,1175400000000
76502000,11930,8,27,61,22,1182700000000
76802000,12018,0,13,36,11,1190100000000
77102000,12040,15,0,0,9,1191000000000
77402000,12069,17,16,32,16,1195500000000
77702000,12133,10,26,61,22,1202900000000
78002000,12183,12,15,36,13,1206700000000
78302000,12247,0,13,30,12,1212800000000
78602000,12268,14,2,4,10,1213700000000
78902000,12269,32,18,62,19,1215400000000
79202000,12358,5,35,89,37,1225800000000
79502000,12424,4,9,21,9,1229800000000
79802000,12470,2,15,33,17,1234800000000
80102000,12530,0,15,39,12,1240800000000
80402000,12574,3,4,6,4,1244100000000
80702000,12582,24,0,0,10,1244300000000
81002000,12618,22,22,58,23,1250100000000
81302000,12719,0,22,47,16,1260200000000
81602000,12749,15,3,6,5,1261200000000
81902000,12777,21,3,5,16,1263700000000
82202000,12854,1,9,18,8,1272000000000
82502000,12865,22,0,0,14,1272000000000
82802000,12910,19,23,58,25,1278800000000
83102000,13004,0,9,26,11,1286700000000
83402000,13040,2,3,3,4,1289600000000
83702000,13047,22,0,0,12,1290000000000
84002000,13063,26,26,56,18,1294200000000
84302000,13151,6,28,71,24,1303200000000
84602000,13215,4,0,0,10,1306700000000
84902000,13215,22,19,51,18,1308600000000
85202000,13311,0,25,77,23,1318800000000
85502000,13341,13,4,8,7,1319700000000
85802000,13349,26,16,48,16,1321300000000
86102000,13416,3,33,77,25,1329700000000
86402000,13495,3,4,5,3,1334700000000
86702000,13500,25,0,0,9,1334700000000
87002000,13535,23,29,73,25,1341100000000
87302000,13646,5,4,6,5,1349600000000
87602000,13648,27,2,4,11,1349600000000
87902000,13678,24,25,59,26,1354700000000
88202000,13781,0,26,63,22,1365100000000
88502000,13807,19,10,28,11,1365948750000
88802000,13858,10,26,61,24,1372500000000
89102000,13936,8,0,0,5,1377600000000
89402000,13938,23,15,37,12,1379300000000
89702000,13979,23,23,77,26,1384200000000
90002000,14083,0,9,12,4,1393200000000
90302000,14092,14,10,25,10,1394000000000
90602000,14127,21,15,33,20,1397900000000
90902000,14207,4,19,44,23,1406300000000
91202000,14243,15,0,0,10,1408000000000
91502000,14275,7,21,60,18,1413300000000
91802000,14343,3,21,55,18,1420100000000
92102000,14369,14,1,2,5,1420700000000
92402000,14381,22,22,40,13,1423900000000
92702000,14437,13,24,58,23,1429700000000
93002000,14521,0,23,68,21,1438000000000
93302000,14548,20,6,18,6,1438700000000
93602000,14577,16,28,60,23,1443800000000
93902000,14675,0,16,33,11,1452400000000
94202000,14709,8,10,28,10,1455100000000
94502000,14754,3,18,40,15,1460400000000
94802000,14809,2,4,4,8,1464500000000
95102000,14845,7,13,40,14,1469000000000
95402000,14904,3,14,36,15,1475000000000
95702000,14931,10,0,0,12,1476300000000
96002000,14972,5,23,47,21,1482700000000
96302000,15034,2,10,24,7,1487600000000
96602000,15042,24,2,4,14,1487600000000
96902000,15071,26,16,48,21,1491700000000
97202000,15173,8,14,42,21,1501700000000
97502000,15217,8,1,2,6,1504700000000
97802000,15233,21,12,26,17,1507300000000
98102000,15282,12,24,58,29,1513400000000
98402000,15371,7,1,1,3,1520000000000
98702000,15372,31,0,0,10,1520000000000
99002000,15396,36,18,52,19,1524200000000
99302000,15468,15,45,132,34,1534100000000
99602000,15579,0,20,55,19,1542400000000
99902000,15627,8,0,0,8,1545100000000
100202000,15640,20,14,34,15,1547800000000
100502000,15722,0,29,61,20,1557500000000
100802000,15770,11,2,4,5,1559600000000
101102000,15784,21,16,37,13,1562200000000
101402000,15849,6,31,84,26,1570200000000
101702000,15917,3,14,28,9,1575200000000
102002000,15934,13,14,38,14,1576900000000
102302000,15981,10,23,65,20,1582300000000
102602000,16054,7,3,5,4,1587500000000
102902000,16055,27,2,4,9,1587500000000
103202000,16101,14,33,87,26,1595000000000
103502000,16193,0,11,33,11,1602000000000
103802000,16212,14,15,48,12,1604200000000
